Abstractness,Average Block Depth,Average Cyclomatic Complexity,Average Number of Methods Per Type,Efferent Couplings,Lines of Code,Number of Methods,Number of Packages,Weighted Methods
13.1%,1.17,2.03,9.78,"1,029","149,046","11,105",134,"25,234"
13.1%,1.17,2.03,9.78,"1,029","148,964","11,102",134,"25,224"
13.1%,1.17,2.03,9.76,"1,027","148,702","11,067",134,"25,169"
12.6%,1.18,2.04,9.72,"1,013","146,899","10,815",132,"24,751"
11.9%,1.18,2.03,9.63,968,"139,311","10,238",129,"23,353"
11.9%,1.18,2.02,9.33,944,"132,020","9,666",129,"22,043"
12%,1.18,2.03,9.27,940,"131,046","9,576",129,"21,904"
12%,1.18,2.03,9.27,940,"131,032","9,575",129,"21,903"
12%,1.18,2.03,9.27,940,"130,986","9,573",129,"21,900"
12%,1.18,2.03,9.26,940,"130,898","9,563",129,"21,889"
12%,1.18,2.03,9.28,937,"130,781","9,551",127,"21,861"
12%,1.18,2.03,9.28,936,"130,622","9,545",127,"21,853"
12%,1.18,2.03,9.27,935,"130,361","9,523",127,"21,809"
12%,1.18,2.03,9.27,934,"130,292","9,516",127,"21,795"
12%,1.18,2.03,9.24,933,"130,043","9,481",127,"21,716"
12%,1.18,2.03,9.24,933,"129,950","9,478",127,"21,709"
12.1%,1.18,2.03,9.18,930,"128,951","9,391",127,"21,544"
12.1%,1.18,2.03,9.18,930,"128,910","9,389",127,"21,538"
12.1%,1.17,2.03,9.15,928,"128,257","9,344",127,"21,433"
12%,1.17,2.03,9.07,926,"126,803","9,236",124,"21,167"
12%,1.17,2.03,9.05,926,"126,550","9,215",124,"21,114"
12%,1.17,2.03,9.05,926,"126,501","9,213",124,"21,104"
12%,1.17,2.02,9.02,926,"125,770","9,184",124,"20,999"
12%,1.17,2.02,9.01,926,"125,577","9,174",124,"20,978"
12%,1.17,2.02,8.99,926,"125,374","9,152",124,"20,936"
12.1%,1.17,2.02,8.95,920,"123,527","9,060",124,"20,655"
